img1,img2,label
data\LFW\lfw-deepfunneled\Aaron_Peirsol\Aaron_Peirsol_0001.jpg,data\LFW\lfw-deepfunneled\Aaron_Peirsol\Aaron_Peirsol_0002.jpg,1
data\LFW\lfw-deepfunneled\Aaron_Peirsol\Aaron_Peirsol_0003.jpg,data\LFW\lfw-deepfunneled\Aaron_Peirsol\Aaron_Peirsol_0004.jpg,1
data\LFW\lfw-deepfunneled\Aaron_Sorkin\Aaron_Sorkin_0001.jpg,data\LFW\lfw-deepfunneled\Aaron_Sorkin\Aaron_Sorkin_0002.jpg,1
data\LFW\lfw-deepfunneled\Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0001.jpg,data\LFW\lfw-deepfunneled\Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0002.jpg,1
data\LFW\lfw-deepfunneled\Abdullah\Abdullah_0001.jpg,data\LFW\lfw-deepfunneled\Abdullah\Abdullah_0003.jpg,1
data\LFW\lfw-deepfunneled\Abdullah\Abdullah_0002.jpg,data\LFW\lfw-deepfunneled\Abdullah\Abdullah_0004.jpg,1
data\LFW\lfw-deepfunneled\Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.jpg,data\LFW\lfw-deepfunneled\Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.jpg,1
data\LFW\lfw-deepfunneled\Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.jpg,data\LFW\lfw-deepfunneled\Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.jpg,1
data\LFW\lfw-deepfunneled\Abel_Pacheco\Abel_Pacheco_0001.jpg,data\LFW\lfw-deepfunneled\Abel_Pacheco\Abel_Pacheco_0004.jpg,1
data\LFW\lfw-deepfunneled\Abel_Pacheco\Abel_Pacheco_0003.jpg,data\LFW\lfw-deepfunneled\Abel_Pacheco\Abel_Pacheco_0004.jpg,1
data\LFW\lfw-deepfunneled\Adam_Sandler\Adam_Sandler_0001.jpg,data\LFW\lfw-deepfunneled\Adam_Sandler\Adam_Sandler_0003.jpg,1
data\LFW\lfw-deepfunneled\Adam_Sandler\Adam_Sandler_0001.jpg,data\LFW\lfw-deepfunneled\Adam_Sandler\Adam_Sandler_0004.jpg,1
data\LFW\lfw-deepfunneled\Adam_Sandler\Adam_Sandler_0002.jpg,data\LFW\lfw-deepfunneled\Adam_Sandler\Adam_Sandler_0004.jpg,1
data\LFW\lfw-deepfunneled\Adam_Scott\Adam_Scott_0001.jpg,data\LFW\lfw-deepfunneled\Adam_Scott\Adam_Scott_0002.jpg,1
